"TimePeriod","GeoTypeDesc","GeoID","GeoRank","Geography","Number","Estimated annual rate per 10,000","Age-adjusted rate per 10,000"
"2018","UHF 42","202","4","Downtown - Heights - Slope","124","5.9","6.9"
"2018","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","306","12.0","12.6"
"2018","UHF 42","204","4","East New York","164","11.9","12.1"
"2018","UHF 42","205","4","Sunset Park","52","5.5","6.3"
"2018","UHF 42","206","4","Borough Park","69","3.0","2.9"
"2018","UHF 42","207","4","East Flatbush - Flatbush","206","8.8","8.8"
"2018","UHF 42","208","4","Canarsie - Flatlands","134","8.3","7.9"
"2018","UHF 42","209","4","Bensonhurst - Bay Ridge","54","3.3","3.2"
"2018","UHF 42","210","4","Coney Island - Sheepshead Bay","160","6.9","6.1"
"2018","UHF 42","211","4","Williamsburg - Bushwick","217","13.1","15.6"
"2018","UHF 42","301","4","Washington Heights","190","8.6","8.7"
"2018","UHF 42","302","4","Central Harlem - Morningside Heights","274","18.8","19.4"
"2018","UHF 42","303","4","East Harlem","156","17.1","16.8"
"2018","UHF 42","304","4","Upper West Side","81","4.4","4.0"
"2018","UHF 42","305","4","Upper East Side","39","2.1","1.8"
"2018","UHF 42","306","4","Chelsea - Clinton","41","2.8","3.1"
"2018","UHF 42","307","4","Gramercy Park - Murray Hill","28","2.3","2.9"
"2018","UHF 42","308","4","Greenwich Village - SoHo","6*","0.8*","0.8*"
"2018","UHF 42","309","4","Union Square - Lower East Side","98","6.0","5.8"
"2018","UHF 42","310","4","Lower Manhattan","20","3.9","5.1"
"2018","UHF 42","401","4","Long Island City - Astoria","74","4.2","4.8"
"2018","UHF 42","402","4","West Queens","224","6.2","6.2"
"2018","UHF 42","403","4","Flushing - Clearview","104","5.0","4.6"
"2018","UHF 42","404","4","Bayside - Little Neck","23","3.2","3.1"
"2018","UHF 42","405","4","Ridgewood - Forest Hills","97","4.7","4.5"
"2018","UHF 42","406","4","Fresh Meadows","52","6.6","6.6"
"2018","UHF 42","407","4","Southwest Queens","149","6.8","6.6"
"2018","UHF 42","408","4","Jamaica","216","8.7","7.9"
"2018","UHF 42","409","4","Southeast Queens","127","7.4","6.8"
"2018","UHF 42","410","4","Rockaways","78","8.3","7.8"
"2018","UHF 42","501","4","Port Richmond","59","11.7","11.6"
"2018","UHF 42","502","4","Stapleton - St. George","112","11.5","12.2"
"2018","UHF 42","503","4","Willowbrook","55","7.5","7.2"
"2018","UHF 42","504","4","South Beach - Tottenville","72","4.7","4.8"
"2016","UHF 42","101","4","Kingsbridge - Riverdale","87","11.7","10.8"
"2016","UHF 42","102","4","Northeast Bronx","298","18.6","18.0"
"2016","UHF 42","103","4","Fordham - Bronx Pk","516","26.7","27.8"
"2016","UHF 42","104","4","Pelham - Throgs Neck","538","22.6","22.2"
"2016","UHF 42","105","4","Crotona -Tremont","480","30.4","32.2"
"2016","UHF 42","106","4","High Bridge - Morrisania","633","39.4","40.0"
"2016","UHF 42","107","4","Hunts Point - Mott Haven","513","48.9","50.8"
"2016","UHF 42","201","4","Greenpoint","37","3.3","4.6"
"2016","UHF 42","202","4","Downtown - Heights - Slope","149","7.0","8.7"
"2016","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","354","13.9","14.3"
"2016","UHF 42","204","4","East New York","164","12.0","12.1"
"2016","UHF 42","205","4","Sunset Park","53","5.2","6.1"
"2016","UHF 42","206","4","Borough Park","115","4.7","4.6"
"2016","UHF 42","207","4","East Flatbush - Flatbush","249","10.5","10.2"
"2016","UHF 42","208","4","Canarsie - Flatlands","138","8.6","8.1"
"2016","UHF 42","209","4","Bensonhurst - Bay Ridge","51","3.0","2.8"
"2016","UHF 42","210","4","Coney Island - Sheepshead Bay","183","8.0","7.6"
"2016","UHF 42","211","4","Williamsburg - Bushwick","208","12.6","14.0"
"2016","UHF 42","301","4","Washington Heights","211","9.6","9.8"
"2016","UHF 42","302","4","Central Harlem - Morningside Heights","272","19.3","20.3"
"2016","UHF 42","303","4","East Harlem","233","26.1","26.4"
"2016","UHF 42","304","4","Upper West Side","67","3.6","3.5"
"2016","UHF 42","305","4","Upper East Side","36","1.9","1.8"
"2016","UHF 42","306","4","Chelsea - Clinton","48","3.3","3.8"
"2016","UHF 42","307","4","Gramercy Park - Murray Hill","22","1.8","1.9"
"2016","UHF 42","308","4","Greenwich Village - SoHo","**","1.2*","1.3*"
"2016","UHF 42","309","4","Union Square - Lower East Side","124","7.1","7.5"
"2016","UHF 42","310","4","Lower Manhattan","21","3.9","5.6"
"2016","UHF 42","401","4","Long Island City - Astoria","114","6.3","7.0"
"2016","UHF 42","402","4","West Queens","225","5.9","6.1"
"2016","UHF 42","403","4","Flushing - Clearview","107","4.9","4.5"
"2016","UHF 42","404","4","Bayside - Little Neck","32","4.3","4.1"
"2016","UHF 42","405","4","Ridgewood - Forest Hills","89","4.4","4.2"
"2016","UHF 42","406","4","Fresh Meadows","55","6.9","6.5"
"2016","UHF 42","407","4","Southwest Queens","172","7.6","7.4"
"2016","UHF 42","408","4","Jamaica","297","11.9","11.5"
"2016","UHF 42","409","4","Southeast Queens","139","8.1","7.4"
"2016","UHF 42","410","4","Rockaways","77","8.6","8.2"
"2016","UHF 42","501","4","Port Richmond","133","26.8","26.4"
"2016","UHF 42","502","4","Stapleton - St. George","142","14.5","14.8"
"2016","UHF 42","503","4","Willowbrook","52","7.4","7.0"
"2016","UHF 42","504","4","South Beach - Tottenville","89","5.8","5.6"
"2014","UHF 42","101","4","Kingsbridge - Riverdale","138","18.6","17.0"
"2014","UHF 42","102","4","Northeast Bronx","510","32.2","30.1"
"2014","UHF 42","103","4","Fordham - Bronx Pk","849","44.8","48.3"
"2014","UHF 42","104","4","Pelham - Throgs Neck","794","33.8","33.2"
"2014","UHF 42","105","4","Crotona -Tremont","751","48.7","52.6"
"2014","UHF 42","106","4","High Bridge - Morrisania","860","54.7","56.4"
"2014","UHF 42","107","4","Hunts Point - Mott Haven","736","71.9","75.6"
"2014","UHF 42","201","4","Greenpoint","108","10.0","13.7"
"2014","UHF 42","202","4","Downtown - Heights - Slope","303","14.7","17.9"
"2014","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","912","35.7","37.4"
