"TimePeriod","GeoTypeDesc","GeoID","GeoRank","Geography","Mean ppb","10th percentile ppb","90th percentile ppb"
"Annual Average 2021","UHF 42","105","4","Crotona -Tremont","13.2","11.1","15.3"
"Annual Average 2021","UHF 42","106","4","High Bridge - Morrisania","12.3","10.4","15.6"
"Annual Average 2021","UHF 42","107","4","Hunts Point - Mott Haven","16.4","8.2","26.6"
"Annual Average 2021","UHF 42","201","4","Greenpoint","22.7","14.0","34.6"
"Annual Average 2021","UHF 42","202","4","Downtown - Heights - Slope","14.8","11.5","18.8"
"Annual Average 2021","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","11.8","10.5","13.2"
"Annual Average 2021","UHF 42","204","4","East New York","12.3","8.8","17.0"
"Annual Average 2021","UHF 42","205","4","Sunset Park","16.1","8.7","26.9"
"Annual Average 2021","UHF 42","206","4","Borough Park","11.1","10.3","12.0"
"Annual Average 2021","UHF 42","207","4","East Flatbush - Flatbush","11.0","10.0","12.0"
"Annual Average 2021","UHF 42","208","4","Canarsie - Flatlands","10.2","6.3","14.2"
"Annual Average 2021","UHF 42","209","4","Bensonhurst - Bay Ridge","11.2","9.3","13.4"
"Annual Average 2021","UHF 42","210","4","Coney Island - Sheepshead Bay","10.0","8.3","11.1"
"Annual Average 2021","UHF 42","211","4","Williamsburg - Bushwick","17.8","10.4","29.9"
"Annual Average 2021","UHF 42","301","4","Washington Heights","13.3","7.6","22.3"
"Annual Average 2021","UHF 42","302","4","Central Harlem - Morningside Heights","11.6","10.6","12.6"
"Annual Average 2021","UHF 42","303","4","East Harlem","12.7","11.2","14.2"
"Annual Average 2021","UHF 42","304","4","Upper West Side","11.4","10.0","12.7"
"Annual Average 2021","UHF 42","305","4","Upper East Side","12.6","10.2","14.5"
"Annual Average 2021","UHF 42","306","4","Chelsea - Clinton","14.6","12.9","17.3"
"Annual Average 2021","UHF 42","307","4","Gramercy Park - Murray Hill","14.1","12.8","15.1"
"Annual Average 2021","UHF 42","308","4","Greenwich Village - SoHo","14.2","13.2","15.1"
"Annual Average 2021","UHF 42","309","4","Union Square - Lower East Side","12.4","10.7","13.6"
"Annual Average 2021","UHF 42","310","4","Lower Manhattan","12.2","10.8","13.5"
"Annual Average 2021","UHF 42","401","4","Long Island City - Astoria","16.3","10.6","27.4"
"Annual Average 2021","UHF 42","402","4","West Queens","19.5","10.1","36.6"
"Annual Average 2021","UHF 42","403","4","Flushing - Clearview","9.7","7.9","11.7"
"Annual Average 2021","UHF 42","404","4","Bayside - Little Neck","8.8","6.4","10.9"
"Annual Average 2021","UHF 42","405","4","Ridgewood - Forest Hills","11.4","7.8","13.9"
"Annual Average 2021","UHF 42","406","4","Fresh Meadows","9.7","8.7","11.0"
"Annual Average 2021","UHF 42","407","4","Southwest Queens","10.1","8.4","11.5"
"Annual Average 2021","UHF 42","408","4","Jamaica","11.7","8.2","15.0"
"Annual Average 2021","UHF 42","409","4","Southeast Queens","10.3","8.1","10.5"
"Annual Average 2021","UHF 42","410","4","Rockaways","7.1","5.5","8.2"
"Annual Average 2021","UHF 42","501","4","Port Richmond","10.8","9.1","12.2"
"Annual Average 2021","UHF 42","502","4","Stapleton - St. George","9.3","7.3","11.3"
"Annual Average 2021","UHF 42","503","4","Willowbrook","9.0","6.5","12.0"
"Annual Average 2021","UHF 42","504","4","South Beach - Tottenville","8.5","6.8","9.9"
"Annual Average 2020","UHF 42","101","4","Kingsbridge - Riverdale","9.3","8.3","11.3"
"Annual Average 2020","UHF 42","102","4","Northeast Bronx","9.6","8.8","11.0"
"Annual Average 2020","UHF 42","103","4","Fordham - Bronx Pk","10.1","8.8","11.6"
"Annual Average 2020","UHF 42","104","4","Pelham - Throgs Neck","10.5","9.1","12.0"
"Annual Average 2020","UHF 42","105","4","Crotona -Tremont","11.8","10.5","13.2"
"Annual Average 2020","UHF 42","106","4","High Bridge - Morrisania","12.0","11.1","13.3"
"Annual Average 2020","UHF 42","107","4","Hunts Point - Mott Haven","15.4","10.5","23.1"
"Annual Average 2020","UHF 42","201","4","Greenpoint","22.0","13.4","35.2"
"Annual Average 2020","UHF 42","202","4","Downtown - Heights - Slope","14.6","11.7","18.9"
"Annual Average 2020","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","12.1","10.8","13.6"
"Annual Average 2020","UHF 42","204","4","East New York","12.0","10.2","14.2"
"Annual Average 2020","UHF 42","205","4","Sunset Park","14.5","9.8","21.2"
"Annual Average 2020","UHF 42","206","4","Borough Park","9.8","9.0","10.6"
"Annual Average 2020","UHF 42","207","4","East Flatbush - Flatbush","10.4","9.4","11.5"
"Annual Average 2020","UHF 42","208","4","Canarsie - Flatlands","10.2","8.4","13.4"
"Annual Average 2020","UHF 42","209","4","Bensonhurst - Bay Ridge","9.2","8.6","10.0"
"Annual Average 2020","UHF 42","210","4","Coney Island - Sheepshead Bay","8.8","8.3","9.3"
"Annual Average 2020","UHF 42","211","4","Williamsburg - Bushwick","17.8","11.0","31.9"
