"TimePeriod","GeoTypeDesc","GeoID","GeoRank","Geography","Mean ppb","10th percentile ppb","90th percentile ppb"
"Summer 2018","UHF 42","103","4","Fordham - Bronx Pk","30.6","29.4","31.7"
"Summer 2018","UHF 42","104","4","Pelham - Throgs Neck","31.5","30.0","33.3"
"Summer 2018","UHF 42","105","4","Crotona -Tremont","30.0","28.5","31.1"
"Summer 2018","UHF 42","106","4","High Bridge - Morrisania","29.7","28.6","30.6"
"Summer 2018","UHF 42","107","4","Hunts Point - Mott Haven","30.6","28.9","32.9"
"Summer 2018","UHF 42","201","4","Greenpoint","29.0","27.7","30.3"
"Summer 2018","UHF 42","202","4","Downtown - Heights - Slope","28.5","27.1","30.2"
"Summer 2018","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","30.2","28.9","31.4"
"Summer 2018","UHF 42","204","4","East New York","31.7","30.6","33.0"
"Summer 2018","UHF 42","205","4","Sunset Park","29.5","27.7","31.3"
"Summer 2018","UHF 42","206","4","Borough Park","30.4","29.4","31.5"
"Summer 2018","UHF 42","207","4","East Flatbush - Flatbush","31.0","30.0","31.8"
"Summer 2018","UHF 42","208","4","Canarsie - Flatlands","33.0","31.0","36.0"
"Summer 2018","UHF 42","209","4","Bensonhurst - Bay Ridge","30.9","29.3","32.7"
"Summer 2018","UHF 42","210","4","Coney Island - Sheepshead Bay","32.5","31.3","34.2"
"Summer 2018","UHF 42","211","4","Williamsburg - Bushwick","29.6","28.4","30.8"
"Summer 2018","UHF 42","301","4","Washington Heights","29.0","27.1","30.8"
"Summer 2018","UHF 42","302","4","Central Harlem - Morningside Heights","28.4","27.1","29.7"
"Summer 2018","UHF 42","303","4","East Harlem","28.8","27.6","29.8"
"Summer 2018","UHF 42","304","4","Upper West Side","27.2","26.0","28.3"
"Summer 2018","UHF 42","305","4","Upper East Side","27.0","24.8","29.6"
"Summer 2018","UHF 42","306","4","Chelsea - Clinton","24.8","22.2","27.6"
"Summer 2018","UHF 42","307","4","Gramercy Park - Murray Hill","24.0","21.9","26.5"
"Summer 2018","UHF 42","308","4","Greenwich Village - SoHo","26.4","25.3","27.4"
"Summer 2018","UHF 42","309","4","Union Square - Lower East Side","26.8","24.9","28.5"
"Summer 2018","UHF 42","310","4","Lower Manhattan","25.9","24.3","27.4"
"Summer 2018","UHF 42","401","4","Long Island City - Astoria","29.7","28.2","30.9"
"Summer 2018","UHF 42","402","4","West Queens","30.3","29.0","31.5"
"Summer 2018","UHF 42","403","4","Flushing - Clearview","31.3","30.1","32.4"
"Summer 2018","UHF 42","404","4","Bayside - Little Neck","31.0","29.2","32.3"
"Summer 2018","UHF 42","405","4","Ridgewood - Forest Hills","31.0","29.7","32.4"
"Summer 2018","UHF 42","406","4","Fresh Meadows","31.0","29.8","32.2"
"Summer 2018","UHF 42","407","4","Southwest Queens","31.9","30.6","33.2"
"Summer 2018","UHF 42","408","4","Jamaica","31.3","30.3","32.3"
"Summer 2018","UHF 42","409","4","Southeast Queens","31.8","30.6","32.9"
"Summer 2018","UHF 42","410","4","Rockaways","35.2","33.5","37.3"
"Summer 2018","UHF 42","501","4","Port Richmond","28.5","27.3","29.6"
"Summer 2018","UHF 42","502","4","Stapleton - St. George","29.9","27.6","32.1"
"Summer 2018","UHF 42","503","4","Willowbrook","29.4","26.2","31.8"
"Summer 2018","UHF 42","504","4","South Beach - Tottenville","30.3","27.4","32.7"
"Summer 2017","UHF 42","101","4","Kingsbridge - Riverdale","27.5","26.1","29.1"
"Summer 2017","UHF 42","102","4","Northeast Bronx","29.0","27.9","30.1"
"Summer 2017","UHF 42","103","4","Fordham - Bronx Pk","28.3","27.0","29.6"
"Summer 2017","UHF 42","104","4","Pelham - Throgs Neck","29.8","28.0","31.9"
"Summer 2017","UHF 42","105","4","Crotona -Tremont","27.8","26.1","29.1"
"Summer 2017","UHF 42","106","4","High Bridge - Morrisania","27.7","26.6","28.7"
"Summer 2017","UHF 42","107","4","Hunts Point - Mott Haven","29.4","27.4","31.5"
"Summer 2017","UHF 42","201","4","Greenpoint","29.0","27.3","30.7"
"Summer 2017","UHF 42","202","4","Downtown - Heights - Slope","27.9","26.2","29.8"
"Summer 2017","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","29.4","28.1","30.7"
"Summer 2017","UHF 42","204","4","East New York","30.9","29.6","32.4"
"Summer 2017","UHF 42","205","4","Sunset Park","29.3","27.5","31.2"
"Summer 2017","UHF 42","206","4","Borough Park","29.7","28.7","30.7"
"Summer 2017","UHF 42","207","4","East Flatbush - Flatbush","30.1","29.0","31.2"
"Summer 2017","UHF 42","208","4","Canarsie - Flatlands","32.4","30.5","35.6"
"Summer 2017","UHF 42","209","4","Bensonhurst - Bay Ridge","30.0","28.3","32.1"
"Summer 2017","UHF 42","210","4","Coney Island - Sheepshead Bay","31.9","30.6","33.6"
"Summer 2017","UHF 42","211","4","Williamsburg - Bushwick","29.3","28.3","30.3"
"Summer 2017","UHF 42","301","4","Washington Heights","26.9","25.3","28.5"
"Summer 2017","UHF 42","302","4","Central Harlem - Morningside Heights","26.5","25.2","27.8"
"Summer 2017","UHF 42","303","4","East Harlem","26.9","25.6","28.2"
"Summer 2017","UHF 42","304","4","Upper West Side","25.6","24.4","26.7"
"Summer 2017","UHF 42","305","4","Upper East Side","25.2","22.9","28.5"
"Summer 2017","UHF 42","306","4","Chelsea - Clinton","23.4","20.6","26.6"
"Summer 2017","UHF 42","307","4","Gramercy Park - Murray Hill","22.1","19.8","25.0"
"Summer 2017","UHF 42","308","4","Greenwich Village - SoHo","25.2","23.9","26.5"
"Summer 2017","UHF 42","309","4","Union Square - Lower East Side","25.6","23.1","27.6"
"Summer 2017","UHF 42","310","4","Lower Manhattan","24.7","22.8","26.5"
"Summer 2017","UHF 42","401","4","Long Island City - Astoria","29.1","27.9","30.2"
"Summer 2017","UHF 42","402","4","West Queens","29.4","28.1","30.7"
"Summer 2017","UHF 42","403","4","Flushing - Clearview","30.3","29.0","31.5"
"Summer 2017","UHF 42","404","4","Bayside - Little Neck","30.3","28.2","31.7"
"Summer 2017","UHF 42","405","4","Ridgewood - Forest Hills","30.1","28.7","31.8"
"Summer 2017","UHF 42","406","4","Fresh Meadows","30.1","28.6","31.3"
"Summer 2017","UHF 42","407","4","Southwest Queens","31.2","29.7","32.5"
"Summer 2017","UHF 42","408","4","Jamaica","30.9","29.7","32.0"
"Summer 2017","UHF 42","409","4","Southeast Queens","31.7","30.4","33.0"
"Summer 2017","UHF 42","410","4","Rockaways","35.2","33.7","37.4"
"Summer 2017","UHF 42","501","4","Port Richmond","27.0","25.9","28.2"
"Summer 2017","UHF 42","502","4","Stapleton - St. George","28.8","26.6","31.1"
"Summer 2017","UHF 42","503","4","Willowbrook","28.0","25.2","30.3"
"Summer 2017","UHF 42","504","4","South Beach - Tottenville","29.0","26.4","31.3"
"Summer 2016","UHF 42","101","4","Kingsbridge - Riverdale","32.5","31.8","33.3"
"Summer 2016","UHF 42","102","4","Northeast Bronx","33.2","32.6","33.8"
"Summer 2016","UHF 42","103","4","Fordham - Bronx Pk","32.8","32.1","33.6"
"Summer 2016","UHF 42","104","4","Pelham - Throgs Neck","33.6","32.4","35.3"
"Summer 2016","UHF 42","105","4","Crotona -Tremont","32.3","31.7","32.9"
"Summer 2016","UHF 42","106","4","High Bridge - Morrisania","32.3","31.9","32.8"
"Summer 2016","UHF 42","107","4","Hunts Point - Mott Haven","33.6","32.4","35.3"
"Summer 2016","UHF 42","201","4","Greenpoint","33.0","31.7","34.3"
"Summer 2016","UHF 42","202","4","Downtown - Heights - Slope","32.0","30.9","33.4"
